{303}wuqizhimeiwozhe 吾妻之美我者
{189}wuruouhuashenchu 误入藕花深处
{53}wushixianfansaiwaisheng 五十弦翻塞外声
{324}wushiyuren 勿施于人
{584}wuweizaiqilu 无为在歧路
{93}wuxianshanhelei 无限山河泪
{59}wuyikuzhengchun 无意苦争春
{396}wuyuerenbeimang 五月人倍忙
{238}xibeiwang 西北望
{6}xichuyangguanwuguren 西出阳关无故人
{465}xijiangyue 西江月
{139}xiluzhanwoyi 夕露沾我衣
{117}xirenyichenghuanghequ 昔人已乘黄鹤去
{405}xishuixiliu 溪水西流
{513}xiyangxixia 夕阳西下
{199}xiyangxixiajishihui 夕阳西下几时回
{453}xiazhepiaozhuanchentangao 下者飘转沉塘坳
{149}xianqiaoqiziluodenghua 闲敲棋子落灯花
{275}xiantianxiazhiyoueryou 先天下之忧而忧
{509}xianxianzhuosushou 纤纤擢素手
{34}xiangjianshinanbieyenan 相见时难别也难
{250}xiangjianshinanbieyinan 相见时难别亦难
{96}xiangqimiaoyunhan 相期邈云汉
{504}xiangqufujixu 相去复几许
{531}xiangshuhechuda 乡书何处达
{391}xiangsuixiangtianqu 相随饷田去
{591}xiangyinwugaibinmaoshuai 乡音无改鬓毛衰
{632}xiaoguzhuisuichunshejin 箫鼓追随春社近
{33}xiaojingdanchouyunbingai 晓镜但愁云鬓改
{394}xiaomaifulonghuang 小麦覆陇黄
{515}xiaoqiaoliushuirenjia 小桥流水人家
{589}xiaowenkeconghechulai 笑问客从何处来
{402}xiaoxiaomuyuziguiti 潇潇暮雨子规啼
{198}xiaoyuanxiangjingdupaihuai 小园香径独徘徊
{365}xinkuzaofengqiyijing 辛苦遭逢起一经
{543}xinyuandizipian 心远地自偏
{344}xingbaixingku 兴百姓苦
{311}xingfuluanqisuowei 行拂乱其所为
{571}xinghancanlan 星汉灿烂
{190}xingjinwanhuizhou 兴尽晚回舟
{102}xinglexujichun 行乐须及春
{569}xingshenzhizai 幸甚至哉
{99}xingshitongjiaohuan 醒时同交欢
{536}xingzhoulvshuiqian 行舟绿水前
{322}xiongzhangyiwosuoyuye 熊掌亦我所欲也
{399}xiujiangbaifachanghuangji 休将白发唱黄鸡
{29}xuanzhouxietiaoloujianbiexiaoshushuyun 宣州谢朓楼饯别校书叔云
{336}xueerbusizewang 学而不思则罔
{342}xueershixizhi 学而时习之
{466}xueshangkongliumaxingchu 雪上空留马行处
{265}yanbingjian 砚冰坚
{110}yanbojiangshangshirenchou 烟波江上使人愁
{524}yanmentaishouxing 雁门太守行
{412}yanranweileguiwuji 燕然未勒归无计
